"key","message","comment","context"
"+{0} more","+{0} más",,
"API Documentation","Documentación de la API",,
"About","Acerca de",,
"Access Error","Error de acceso",,
"Action","Acción",,
"Action Category","Categoría de acción",,
"Action Sub-Category","Subcategoría de acción",,
"Action...","Acción...",,
"Active Users","Usuarios activos",,
"Add","Añadir",,
"Add Field","Añadir campo",,
"Add and new","Añadir y nuevo",,
"Add filter","Añadir filtro",,
"Add followers","Añadir seguidores",,
"Add recipients to post your message.","Añadir destinatarios para publicar tu mensaje.",,
"Add some tags","Añadir algunas etiquetas",,
"Add subitem","Añadir subelemento",,
"Add to favorites...","Añadir a favoritos...",,
"Advanced Search","Búsqueda avanzada",,
"Align left","Alinear a la izquierda",,
"Align right","Alinear a la derecha",,
"All","Todos",,
"All Day","Todo el día",,
"All Rights Reserved","Todos los derechos reservados",,
"Alt.Key","Alt",,
"An error has occurred{}. Please contact your administrator.","Ha ocurrido un error{}. Por favor, contacta con tu administrador.",,
"Apply","Aplicar",,
"Apply as default for all users","Aplicar como predeterminado para todos los usuarios",,
"Archive","Archivar",,
"Are you sure to unfollow this document?","¿Estás seguro de que quieres dejar de seguir este documento?",,
"Are you sure you want to delete the {0} selected documents?","¿Estás seguro de que quieres eliminar los {0} documentos seleccionados?",,
"Are you sure you want to delete {0}?","¿Estás seguro de que quieres eliminar {0}?",,
"Are you sure you want to reset this view customization?","¿Estás seguro de que quieres restablecer esta personalización de vista?",,
"Attached to...","Adjunto a...",,
"Attachment","Adjunto",,
"Attachments","Adjuntos",,
"Attributes","Atributos",,
"Avg","Promedio",,
"Back","Atrás",,
"Back to editor","Volver al editor",,
"Background color","Color de fondo",,
"Blockquote","Cita",,
"Bold (Ctrl+B)","Negrita (Ctrl+B)",,
"Call","Llamar",,
"Cancel","Cancelar",,
"Cancelled","Cancelado",,
"Center","Centrar",,
"Change password","Cambiar contraseña",,
"Change your password","Cambia tu contraseña",,
"Clear","Limpiar",,
"Close","Cerrar",,
"Close All","Cerrar todo",,
"Close Others","Cerrar otros",,
"Code","Código",,
"Collapse All","Contraer todo",,
"Columns","Columnas",,
"Comments","Comentarios",,
"Confirm new password","Confirmar nueva contraseña",,
"Copied","Copiado",,
"Copy to clipboard","Copiar al portapapeles",,
"Count","Contar",,
"Create","Crear",,
"Create document","Crear documento",,
"Create folder","Crear carpeta",,
"Create spreadsheet","Crear hoja de cálculo",,
"Create...","Crear...",,
"Created","Creado",,
"Created By","Creado por",,
"Created On","Creado el",,
"Ctrl.Key","Ctrl",,
"Current changes will be lost. Do you really want to proceed?","Los cambios actuales se perderán. ¿Realmente quieres continuar?",,
"Current changes will be saved. Do you want to proceed?","Los cambios actuales se guardarán. ¿Quieres continuar?",,
"Current password","Contraseña actual",,
"Custom ({0})","Personalizado ({0})",,
"Customize...","Personalizar...",,
"DMS.Home","Inicio",,
"Day","Día",,
"Days","Días",,
"Delete","Eliminar",,
"Delete...","Eliminar...",,
"Delete.Key","Eliminar",,
"Details","Detalles",,
"Details...","Detalles...",,
"Directory","Directorio",,
"Display process","Mostrar proceso",,
"Do you really want to archive the selected record(s)?","¿Realmente quieres archivar el/los registro(s) seleccionado(s)?",,
"Do you really want to archive the selected record?","¿Realmente quieres archivar el registro seleccionado?",,
"Do you really want to delete the selected record(s)?","¿Realmente quieres eliminar el/los registro(s) seleccionado(s)?",,
"Do you really want to delete the selected record?","¿Realmente quieres eliminar el registro seleccionado?",,
"Do you really want to delete the selected task?","¿Realmente quieres eliminar la tarea seleccionada?",,
"Do you really want to unarchive the selected record(s)?","¿Realmente quieres desarchivar el/los registro(s) seleccionado(s)?",,
"Do you really want to unarchive the selected record?","¿Realmente quieres desarchivar el registro seleccionado?",,
"Do you really want to update all {0} record(s)?","¿Realmente quieres actualizar los {0} registro(s)?",,
"Document","Documento",,
"Documentation","Documentación",,
"Domain","Dominio",,
"Download","Descargar",,
"Downloading file…","Descargando archivo…",,
"Downloading {0}…","Descargando {0}…",,
"Drop here","Soltar aquí",,
"Drop your files to start upload.","Suelta tus archivos para comenzar la carga.",,
"Duplicate","Duplicar",,
"Edit","Editar",,
"Either select or create a record.","Selecciona o crea un registro.",,
"Email","Correo electrónico",,
"Email address","Dirección de correo electrónico",,
"Enum type","Tipo enumerado",,
"Environment","Entorno",,
"Error","Error",,
"Error code :","Código de error:",,
"Expand All","Expandir todo",,
"Export","Exportar",,
"Export full","Exportar completo",,
"Failed","Fallido",,
"Failed to parse the given JSON theme : incorrect syntax was encountered.","Error al analizar el tema JSON proporcionado: se encontró una sintaxis incorrecta.",,
"False","Falso",,
"Favorite","Favorito",,
"Field name","Nombre del campo",,
"Field type","Tipo de campo",,
"File","Archivo",,
"File does not exist.","El archivo no existe.",,
"File upload","Subir archivo",,
"File {0} does not exist.","El archivo {0} no existe.",,
"Filter","Filtro",,
"Filters","Filtros",,
"Filters ({0})","Filtros ({0})",,
"Fixed line","Línea fija",,
"Fixed line or mobile","Línea fija o móvil",,
"Folder","Carpeta",,
"Followers","Seguidores",,
"Font","Fuente",,
"Font color","Color de fuente",,
"Font size","Tamaño de fuente",,
"Forgot password?","¿Olvidaste tu contraseña?",,
"Formatted","Formateado",,
"Free Memory","Memoria libre",,
"Go","Ir",,
"Go back to sign in page","Volver a la página de inicio de sesión",,
"Grid requires at least one field.","La cuadrícula requiere al menos un campo.",,
"Group by","Agrupar por",,
"Grouped","Agrupado",,
"Groups","Grupos",,
"Header 1","Encabezado 1",,
"Header 2","Encabezado 2",,
"Header 3","Encabezado 3",,
"Header 4","Encabezado 4",,
"Header 5","Encabezado 5",,
"Header 6","Encabezado 6",,
"Hide","Ocultar",,
"Hide legend","Ocultar leyenda",,
"Hide password","Ocultar contraseña",,
"Home page","Página de inicio",,
"If an account exists with this email address, you will receive a password reset link.","Si existe una cuenta con esta dirección de correo electrónico, recibirás un enlace para restablecer la contraseña.",,
"Indent","Sangría",,
"Information","Información",,
"Insert image","Insertar imagen",,
"Insert link","Insertar enlace",,
"Insert.Key","Insertar",,
"Internal Server Error","Error interno del servidor",,
"Invalid request","Solicitud inválida",,
"Invalid use of ""{0}"" action, must be the last action.","Uso inválido de la acción ""{0}"", debe ser la última acción.",,
"Italic (Ctrl+I)","Cursiva (Ctrl+I)",,
"Java Runtime","Tiempo de ejecución de Java",,
"Java Version","Versión de Java",,
"Justify","Justificar",,
"Keyboard Shortcuts","Atajos de teclado",,
"Language","Idioma",,
"Large","Grande",,
"Larger","Más grande",,
"Last access time","Último acceso",,
"Last modified...","Última modificación...",,
"License","Licencia",,
"Load more","Cargar más",,
"Loading...","Cargando...",,
"Log in time","Hora de inicio de sesión",,
"Log out","Cerrar sesión",,
"Maintenance","Mantenimiento",,
"Mark as important","Marcar como importante",,
"Mark as not important","Marcar como no importante",,
"Mark as read","Marcar como leído",,
"Mark as unread","Marcar como no leído",,
"Mass Update","Actualización masiva",,
"Max","Máximo",,
"Max Memory","Memoria máxima",,
"Medium","Mediano",,
"Memory","Memoria",,
"Messages","Mensajes",,
"Min","Mínimo",,
"Mobile","Móvil",,
"Model...","Modelo...",,
"Modified","Modificado",,
"Month","Mes",,
"Months","Meses",,
"More","Más",,
"More details...","Más detalles...",,
"Move to archive","Mover a archivo",,
"Move to inbox","Mover a la bandeja de entrada",,
"My Filters","Mis filtros",,
"Name","Nombre",,
"New","Nuevo",,
"New Document","Nuevo documento",,
"New Folder","Nueva carpeta",,
"New Spreadsheet","Nueva hoja de cálculo",,
"New password","Nueva contraseña",,
"New password must be different.","La nueva contraseña debe ser diferente.",,
"No","No",,
"No filters available","No hay filtros disponibles",,
"No records found.","No se encontraron registros.",,
"No results found","No se encontraron resultados",,
"None","Ninguno",,
"Normal","Normal",,
"Normalize","Normalizar",,
"Not available","No disponible",,
"Notifications","Notificaciones",,
"Now","Ahora",,
"OK","Aceptar",,
"Object","Objeto",,
"Open URL","Abrir URL",,
"Operating System","Sistema operativo",,
"Opps!","¡Ups!",,
"Ordered list","Lista ordenada",,
"Organize favorites...","Organizar favoritos...",,
"Orig. value","Valor orig.",,
"Outdent","Quitar sangría",,
"Owner","Propietario",,
"Page not found","Página no encontrada",,
"Page size limited to {0} records","Tamaño de página limitado a {0} registros",,
"PageDown.Key","AvPág",,
"PageUp.Key","RePág",,
"Pager","Paginador",,
"Parent","Padre",,
"Password","Contraseña",,
"Passwords do not match.","Las contraseñas no coinciden.",,
"Pending","Pendiente",,
"Permissions {0}","Permisos {0}",,
"Permissions...","Permisos...",,
"Personal number","Número personal",,
"Please check back later. Thank you for your patience.","Por favor, vuelve más tarde. Gracias por tu paciencia.",,
"Please contact your administrator if the problem persists.","Por favor, contacta a tu administrador si el problema persiste.",,
"Please select at least one record.","Por favor, selecciona al menos un registro.",,
"Please wait...","Por favor, espera...",,
"Post","Publicar",,
"Preferences","Preferencias",,
"Premium rate","Tarifa premium",,
"Quarter","Trimestre",,
"Quarters","Trimestres",,
"Question","Pregunta",,
"Recipients","Destinatarios",,
"Reconnecting…","Reconectando…",,
"Reference","Referencia",,
"Refresh","Actualizar",,
"Refreshed at","Actualizado el",,
"Reload","Recargar",,
"Remove","Eliminar",,
"Remove color","Quitar color",,
"Remove format","Quitar formato",,
"Rename...","Renombrar...",,
"Report attached to current object. Would you like to download?","Informe adjunto al objeto actual. ¿Te gustaría descargarlo?",,
"Reset","Restablecer",,
"Reset password","Restablecer contraseña",,
"Reset your password","Restablece tu contraseña",,
"Retry","Reintentar",,
"Save","Guardar",,
"Save as","Guardar como",,
"Save column widths","Guardar anchos de columnas",,
"Save filter as","Guardar filtro como",,
"Search","Buscar",,
"Search Objects","Buscar objetos",,
"Search in filters...","Buscar en filtros...",,
"Search menu...","Buscar en el menú...",,
"Search more...","Buscar más...",,
"Search...","Buscar...",,
"Select","Seleccionar",,
"Selection","Selección",,
"Send","Enviar",,
"Service disabled","Servicio deshabilitado",,
"Share","Compartir",,
"Shared cost","Costo compartido",,
"Shortcuts","Atajos",,
"Show","Mostrar",,
"Show archived","Mostrar archivados",,
"Show help","Mostrar ayuda",,
"Show json content","Mostrar contenido json",,
"Show legend","Mostrar leyenda",,
"Show password","Mostrar contraseña",,
"Showing all items.","Mostrando todos los elementos.",,
"Showing {0} of {1} items.","Mostrando {0} de {1} elementos.",,
"Sign in","Iniciar sesión",,
"Site under maintenance","Sitio en mantenimiento",,
"Small","Pequeño",,
"Smaller","Más pequeño",,
"Some files can't be downloaded. Please check them and retry.","Algunos archivos no se pueden descargar. Por favor, revísalos y vuelve a intentarlo.",,
"Sorry, something went wrong. Please try again later.","Lo sentimos, algo salió mal. Por favor, inténtalo de nuevo más tarde.",,
"Sort Ascending","Ordenar ascendente",,
"Sort Descending","Ordenar descendente",,
"Spreadsheet","Hoja de cálculo",,
"Stacked","Apilado",,
"Strikethrough (Ctrl+S)","Tachado (Ctrl+S)",,
"Style","Estilo",,
"Subject","Asunto",,
"Sum","Suma",,
"System Information","Información del sistema",,
"Tasks due","Tareas pendientes",,
"Tasks todo","Tareas por hacer",,
"Tenant","Inquilino",,
"The audit log related to update and creation isn't available for the record.","El registro de auditoría relacionado con la actualización y creación no está disponible para este registro.",,
"The record has been updated or deleted by another action.","El registro ha sido actualizado o eliminado por otra acción.",,
"There are no records to update.","No hay registros para actualizar.",,
"This page is automatically reloaded every 30 seconds.","Esta página se recarga automáticamente cada 30 segundos.",,
"Title","Título",,
"Today","Hoy",,
"Toggle","Alternar",,
"Toll free","Llamada gratuita",,
"Tomorrow","Mañana",,
"Total Memory","Memoria total",,
"Translate","Traducir",,
"Translation","Traducción",,
"True","Verdadero",,
"Try to refresh this page or contact your support service if the problem persists.","Intenta actualizar esta página o contacta con tu servicio de soporte si el problema persiste.",,
"Type","Tipo",,
"UAN","UAN",,
"Unarchive","Desarchivar",,
"Underline (Ctrl+U)","Subrayado (Ctrl+U)",,
"Unexpected error occurred","Ocurrió un error inesperado",,
"Ungroup","Desagrupar",,
"Unknown","Desconocido",,
"Unordered list","Lista desordenada",,
"Update","Actualizar",,
"Update all","Actualizar todo",,
"Updated By","Actualizado por",,
"Updated On","Actualizado el",,
"Upload","Subir",,
"Upload complete","Carga completada",,
"Uploading files...","Subiendo archivos...",,
"Used Memory","Memoria usada",,
"User","Usuario",,
"Username","Nombre de usuario",,
"Validate","Validar",,
"Value","Valor",,
"Version","Versión",,
"View","Ver",,
"View...","Ver...",,
"VoIP","VoIP",,
"Voicemail","Buzón de voz",,
"Warning","Advertencia",,
"Week","Semana",,
"Weeks","Semanas",,
"Would you like to reload the current record?","¿Te gustaría recargar el registro actual?",,
"Would you like to reload the record?","¿Te gustaría recargar el registro?",,
"Would you like to remove the filter?","¿Te gustaría eliminar el filtro?",,
"Write an email","Escribir un correo electrónico",,
"Write your comment here","Escribe tu comentario aquí",,
"Wrong current username or password","Nombre de usuario o contraseña actual incorrectos",,
"Wrong username or password","Nombre de usuario o contraseña incorrectos",,
"Year","Año",,
"Years","Años",,
"Yes","Sí",,
"Yesterday","Ayer",,
"You are not allowed to upload a file bigger than {0} MB.","No tienes permiso para subir un archivo mayor a {0} MB.",,
"You are not authorized to access this resource.","No estás autorizado para acceder a este recurso.",,
"Your password has been successfully changed.","Tu contraseña ha sido cambiada exitosamente.",,
"Your password reset token is invalid or expired.","Tu token para restablecer la contraseña es inválido o ha expirado.",,
"[Last] dddd","[Último] dddd",,
"and","y",,
"close the current view tab","cerrar la pestaña de vista actual",,
"contains","contiene",,
"create new record","crear nuevo registro",,
"delete current/selected record(s)","eliminar registro(s) actual/seleccionado(s)",,
"doesn't contain","no contiene",,
"duplicate current record","duplicar registro actual",,
"edit selected record","editar registro seleccionado",,
"equals","igual a",,
"focus first or selected item in view","enfocar el primer elemento o el seleccionado en la vista",,
"focus left menu search box","enfocar la caja de búsqueda del menú izquierdo",,
"greater or equal","mayor o igual",,
"greater than","mayor que",,
"in","en",,
"in range","en rango",,
"in the current","en el actual",,
"in the next","en el próximo",,
"in the past","en el pasado",,
"is current group","es grupo actual",,
"is current user","es usuario actual",,
"is empty","está vacío",,
"is false","es falso",,
"is not empty","no está vacío",,
"is not null","no es nulo",,
"is null","es nulo",,
"is true","es verdadero",,
"items","elementos",,
"less or equal","menor o igual",,
"less than","menor que",,
"load more","cargar más",,
"navigate to next page/record","navegar a la siguiente página/registro",,
"navigate to previous page/record","navegar a la página/registro anterior",,
"no messages","sin mensajes",,
"no tasks","sin tareas",,
"not equal","no igual a",,
"not in","no en",,
"not in range","no en rango",,
"or","o",,
"or sign in with","o iniciar sesión con",,
"refresh current view","actualizar vista actual",,
"replies ({0} of {1})","respuestas ({0} de {1})",,
"save current record","guardar registro actual",,
"search for records","buscar registros",,
"toggle left menu","alternar menú izquierdo",,
"{0} is editing since {1}","{0} está editando desde {1}",,
"{0} is invalid","{0} es inválido",,
"{0} is not in proper format","{0} no tiene el formato correcto",,
"{0} is required","{0} es requerido",,
"{0} is too big","{0} es demasiado grande",,
"{0} is too small","{0} es demasiado pequeño",,
"{0} joined {1}","{0} se unió a {1}",,
"{0} left {1}","{0} dejó {1}",,
"{0} messages","{0} mensajes",,
"{0} of {1}","{0} de {1}",,
"{0} records exported.","{0} registros exportados.",,
"{0} saved {1}","{0} guardó {1}",,
"{0} tasks","{0} tareas",,
"{0} to {1} of {2}","{0} a {1} de {2}",,
"key","message","comment","context"
"A theme with the same name already exist. It may create conflicts. Are you sure you want to continue?","Ya existe un tema con el mismo nombre. Esto puede crear conflictos. ¿Estás seguro de que quieres continuar?",,
"A views restoring is already in progress. Please wait until it ends and try again.","Ya hay una restauración de vistas en curso. Por favor, espera a que termine e inténtalo de nuevo.",,
"Access error","Error de acceso",,
"Action","Acción",,
"Action Menu","Menú de acción",,
"Action Menus","Menús de acción",,
"Action name can't be changed.","El nombre de la acción no se puede cambiar.",,
"Actions","Acciones",,
"Activate on","Activar desde",,
"Activate the user from the specified date.","Activar al usuario a partir de la fecha especificada.",,
"Active","Activo",,
"Address","Dirección",,
"Administration","Administración",,
"All Actions","Todas las acciones",,
"All Charts","Todos los gráficos",,
"All Custom Views","Todas las vistas personalizadas",,
"All Documents","Todos los documentos",,
"All Menu Help","Ayuda de todos los menús",,
"All Menus","Todos los menús",,
"All Models","Todos los modelos",,
"All Modules","Todos los módulos",,
"All Schedules","Todos los planificadores",,
"All Selects","Todas las selecciones",,
"All Teams","Todos los equipos",,
"All Themes","Todos los temas",,
"All Translations","Todas las traducciones",,
"All View Help","Ayuda de todas las vistas",,
"All Views","Todas las vistas",,
"All jobs have been restarted.","Todos los trabajos han sido reiniciados.",,
"All the customizations will be lost. Are you sure?","Todas las personalizaciones se perderán. ¿Estás seguro?",,
"All views have been restored (%s).","Todas las vistas han sido restauradas (%s).",,
"Allow","Permitir",,
"Allow this theme to be used by users","Permitir que los usuarios utilicen este tema",,
"Always","Siempre",,
"Amber","Ámbar",,
"An unique permission name.","Nombre único del permiso",,
"Application","Aplicación",,
"Archived","Archivado",,
"Assigned to","Asignado a",,
"Attached to","Adjunto a",,
"Attributes","Atributos",,
"Attrs","Atribs",,
"Author","Autor",,
"Authorization","Autorización",,
"Authorized roles","Roles autorizados",,
"Auto","Automático",,
"Available for users","Disponible para usuarios",,
"Black","Negro",,
"Block the user","Bloquear al usuario",,
"Block the user for an indefinite period.","Bloquear al usuario por un período indefinido.",,
"Blue","Azul",,
"Blue Grey","Azul grisáceo",,
"Body","Cuerpo",,
"Boolean","Booleano",,
"Brown","Marrón",,
"Button","Botón",,
"Calendar","Calendario",,
"Can customize","Puede personalizar",,
"Can read","Puede leer",,
"Can share","Puede compartir",,
"Can write","Puede escribir",,
"Canceled","Cancelado",,
"Cannot delete a task while scheduler is running...","No se puede eliminar una tarea mientras el planificador está en ejecución...",,
"Cards","Tarjetas",,
"Category","Categoría",,
"Category name to group action menus.","Nombre de la categoría para agrupar menús de acción",,
"Change password?","¿Cambiar contraseña?",,
"Chart","Gráfico",,
"Client side js expression","Expresión js del lado del cliente",,
"Closed","Cerrado",,
"Code","Código",,
"Code length should be greater than 2.","La longitud del código debe ser mayor que 2.",,
"Collapse","Contraer",,
"Color","Color",,
"Column sequence","Secuencia de columnas",,
"Come back later. There are no messages in this folder...","Vuelve más tarde. No hay mensajes en esta carpeta...",,
